AMZN,JPM,DIS,GOOG,KO
250.869995,37.434078,45.816906,351.404449,29.98793
257.309998,38.282707,47.022369,359.288177,31.104713
258.480011,38.205559,47.1236,359.496826,31.104713
259.149994,38.882755,48.025394,366.600616,31.154341
268.459991,38.925617,46.902756,365.001007,30.856539
266.380005,39.002773,46.709503,364.280701,30.641462
266.350006,38.977051,46.727913,366.67514,30.633175
265.339996,39.559944,46.737118,368.344269,30.575264
267.940002,39.551376,46.543869,367.604095,30.533915
272.730011,39.328499,46.553074,359.288177,30.600096
271.899994,39.731384,47.013172,360.122742,30.873081
268.929993,40.134266,47.418056,355.28421,30.873081
270.480011,39.808537,48.227844,353.361725,31.03026
272.119995,39.825676,48.163429,349.978729,31.187435
270.190002,39.894241,48.522305,349.164032,30.715906
268.109985,39.628521,49.644962,368.354218,30.715906
273.459991,39.748516,49.644962,374.668152,30.699366
283.98999,40.425716,50.040634,374.399902,30.649723
276.040009,39.979977,50.022243,372.939392,30.616636
260.350006,40.391434,49.681763,374.404846,30.955805
272.76001,40.400005,49.497723,374.47937,31.021986
265.5,40.331417,49.580544,375.403351,30.806902
265,41.017189,50.233887,385.294037,31.055086
259.980011,40.871471,49.598949,377.057617,30.897896
266.890015,41.822964,49.957821,380.395905,31.551435
262.220001,41.668667,50.169472,382.596588,31.692062
260.230011,41.342934,50.022243,384.474365,32.188419
261.950012,41.68581,50.298298,390.147461,32.072601
257.209991,41.711536,50.381111,388.682007,31.940252
258.700012,42.122982,50.565159,387.827545,31.071621
269.470001,41.728672,50.57436,388.900574,30.782085
269.23999,42.191555,50.50074,391.364563,30.476004
265.089996,41.900116,51.172497,393.883179,30.955805
269.75,42.388721,51.282921,400.818054,31.162621
266.410004,41.668667,50.243088,393.669556,31.212254
265.940002,41.360065,49.847401,395.194641,31.195707
265.420013,41.925831,49.921017,397.271149,31.865786
259.869995,40.888607,49.313683,392.830017,31.203985
259.359985,40.802887,49.598949,392.512085,31.526615
263.25,42.242992,50.132664,397.305908,31.807877
264.269989,41.934399,50.233887,398.011322,32.031235
265.73999,41.925831,50.914841,400.490204,32.014694
273.109985,42.088684,51.347328,408.095734,32.113972
275.589996,42.423012,51.973068,416.590485,31.998158
273.790009,42.885887,51.862648,413.003815,32.279411
273.880005,43.400219,51.825836,413.609863,32.362137
274.190002,43.031624,52.810452,413.073364,32.444855
271.23999,43.271633,53.058907,414.712708,32.519321
274.130005,43.100193,52.552792,411.130981,32.229771
275.100006,42.997334,52.764442,409.988434,32.154781
265.73999,43.717377,53.141727,408.115601,32.513081
261.820007,42.877319,52.985298,404.518982,32.354763
257.890015,42.440144,52.295139,401.285034,32.296444
256.410004,42.174416,51.816631,403.038635,32.771385
257.279999,42.105843,52.396358,404.722656,33.221333
253.389999,41.445789,51.816631,403.00882,33.387974
257.75,41.814392,52.249123,402.536896,33.36298
256.019989,41.591518,51.724613,402.204041,33.429649
260.309998,41.694386,52.111099,403.585083,33.904594
265.299988,40.948616,51.963867,398.736603,33.512966
266.48999,40.68288,52.267532,394.528961,33.696274
261.609985,41.000053,52.166309,398.006348,33.704609
263.320007,41.385788,52.87487,403.893066,33.929588
259.029999,40.411091,52.681633,400.495178,33.471302
259.079987,40.963142,52.994488,394.966125,33.77961
255.479996,41.325417,53.095711,388.994965,33.39632
258.950012,41.903336,54.126347,384.921448,34.046242
261.140015,41.989578,54.420807,386.312408,33.921257
264.769989,42.481247,55.313404,392.536926,34.221226
269.850006,42.532993,55.718296,392.641235,34.312885
272.869995,42.27422,55.718296,392.472351,34.229561
267.720001,41.342659,54.181561,388.438568,33.40464
272.339996,41.825703,55.90234,394.121613,35.304443
267.399994,40.359329,55.837917,388.751556,35.45443
259.420013,40.229954,55.202984,380.480347,35.079456
260.320007,40.738869,56.647694,397.350616,35.546074
263.549988,40.842377,57.06179,397.469849,35.596077
268.899994,41.549671,57.595512,401.339661,35.579411
268.779999,42.024078,56.997372,404.096741,35.121132
274.700012,42.265617,57.052593,401.935791,35.287769
254.809998,42.162102,56.932961,398.120605,35.079456
249.740005,42.196587,57.972794,406.883606,35.196125
253.809998,42.27422,57.825562,409.620819,35.271111
248.229996,41.411659,58.166035,407.564178,35.171116
252.550003,41.472054,58.782574,412.124542,34.962811
258.049988,41.032139,59.629162,420.127472,35.196125
255.720001,41.5583,59.868412,427.991333,35.062794
257.730011,42.38636,60.797829,425.845276,35.579411
258.679993,42.921158,60.724197,433.99231,35.379429
260.160004,42.30011,61.34993,432.924255,35.096127
263.630005,42.231102,61.837658,437.270966,35.121132
264.51001,42.843525,61.948071,435.929688,35.154457
268.329987,43.326557,62.086098,440.683777,35.42942
266.559998,44.068363,62.270134,454.985748,35.762714
264.119995,43.964859,61.165901,449.014587,35.904373
269.899994,45.112057,61.267113,451.652435,35.804382
267.630005,45.103428,60.84383,451.329529,35.312771
268.859985,45.733101,60.576973,450.554565,35.279446
262.959991,46.25927,60.337719,441.836273,35.204445
261.799988,46.01775,60.024853,438.542694,34.937813
261.73999,46.285149,60.264095,433.838287,35.196125
267.290009,47.095955,61.368347,437.787628,35.45443
265.529999,47.156338,60.972656,431.349487,34.496193
266.829987,47.975777,59.491127,432.566559,33.971252
269.200012,47.087337,58.046413,432.795074,33.321339
266.880005,47.001068,58.708958,431.011688,34.004585
265.700012,46.612911,59.215065,426.774231,34.512859
267.170013,45.741734,58.083214,427.072296,33.871262
267.829987,46.147137,58.101624,429.526337,33.987907
276.869995,46.811314,59.675167,437.022583,34.504517
281.070007,46.88895,58.736568,442.233704,34.312885
274.779999,46.138512,58.708958,437.062317,33.987907
271.670013,45.87112,57.963593,433.172638,33.887241
275.790009,46.725052,59.169056,435.666412,33.904018
273.98999,45.827991,58.708958,434.692749,33.845291
278.059998,46.449036,59.343899,440.261536,34.130547
281.76001,46.673294,60.080055,447.400085,34.340298
278.160004,46.190258,59.196667,447.429901,33.904018
273.440002,45.267315,57.03418,439.511414,32.83009
273.359985,44.81879,57.724342,437.618713,33.358658
270.609985,43.921722,57.457478,432.084717,33.165691
272.089996,44.922302,57.57711,430.3013,33.325104
277.570007,45.284576,58.166035,434.002228,33.836906
277.549988,45.845245,58.635342,435.701172,33.778168
277.690002,45.53471,58.110825,437.340515,33.652313
282.100006,45.275959,58.828583,441.071259,33.945969
283.730011,45.875454,58.212044,438.30426,33.870461
284.029999,45.849396,58.534115,440.350952,33.971138
285.880005,46.909393,58.727356,443.858124,33.996315
290.589996,47.526276,59.546337,449.620636,34.013092
291.529999,47.691364,59.757988,449.69516,34.256397
292.329987,47.639225,59.730385,450.067749,34.130547
299.660004,47.908569,61.267113,457.146698,34.424198
307.549988,47.760868,61.635197,458.517792,34.424198
306.570007,47.691364,60.668987,459.35733,34.407417
306.869995,47.795624,59.840801,456.83374,33.752995
308.690002,48.021519,60.144466,456.307159,34.264786
304.109985,48.977257,60.56776,452.397583,34.239624
